"id_cobranca","id_cliente","fl_ativo","fl_status_acordo","dt_entrada","dt_inicio_atraso","dt_inicio_juros","dt_saida","vl_divida_inicial"
13585,21513,N,C,2022-04-23,2022-02-20,2022-04-20,,938.86
14112,23130,S,S,2022-07-13,2022-05-10,2022-07-10,,616.99
14677,23409,S,S,2022-10-13,2022-08-10,2022-10-10,,772.23
14454,24298,S,S,2022-09-13,2022-07-10,2022-09-10,,723.69
10160,25022,N,S,2020-01-25,2019-11-15,2020-01-15,,3062.60
12798,25098,N,C,2021-04-30,2021-11-13,2021-11-13,,279.79
14827,26057,S,S,2022-10-28,2022-08-25,2022-10-25,,1081.52
13028,26825,N,C,2022-01-15,2021-11-05,2022-01-05,,654.11
14053,27697,N,S,2022-06-28,2022-04-25,2022-06-25,,749.05
13208,28518,N,S,2022-02-25,2021-12-15,2022-02-15,,584.79
13885,28541,N,S,2022-05-28,2022-03-25,2022-05-25,,1001.01
14617,28654,N,C,2022-09-28,2022-07-25,2022-09-25,,1401.74
14819,28944,S,S,2022-10-28,2022-08-25,2022-10-25,,655.84
14654,29130,N,S,2022-04-28,2022-02-25,2022-10-05,,360.56
13117,29734,N,C,2022-01-25,2021-11-15,2022-01-15,,1035.68
12822,29776,N,C,2021-11-25,2021-09-15,2021-11-15,,535.12
14772,29891,S,S,2022-04-23,2022-10-13,2022-10-13,,450.00
14222,30427,S,C,2022-07-28,2022-05-25,2022-07-25,,563.95
13036,30588,N,S,2022-01-20,2021-11-10,2022-02-10,,519.67
13641,30598,N,C,2022-04-27,2022-02-10,2022-05-10,,1363.05
14323,30598,S,P,2022-04-27,2022-08-10,2022-08-10,,821.36
12199,30702,N,S,2021-06-25,2021-04-15,2021-06-15,,570.27
13642,30745,N,S,2022-04-27,2022-02-10,2022-05-10,,653.83
12112,30780,N,C,2021-06-04,2021-03-25,2021-05-25,,576.41
13282,30811,S,P,2022-03-07,2021-12-25,2022-02-25,,567.30
12880,30877,N,S,2021-12-15,2021-10-05,2021-12-05,,291.60
13131,30917,N,P,2022-01-30,2021-11-20,2022-01-20,,493.36
13332,30921,N,S,2022-03-20,2021-12-10,2022-03-10,,432.17
13790,30973,N,C,2022-05-13,2022-03-10,2022-05-10,,427.10
13259,31136,N,C,2022-03-02,2021-12-20,2022-02-20,,560.29
14791,31144,S,S,2022-10-23,2022-08-20,2022-10-20,,604.28
12271,31167,N,S,2021-07-15,2021-05-05,2021-07-05,,452.68
13158,31239,N,P,2022-02-04,2021-11-25,2022-01-25,,624.89
13047,31285,N,C,2022-01-20,2021-11-10,2022-02-10,,1069.50
14499,31307,S,P,2022-09-13,2022-07-10,2022-09-10,,1220.11
12565,31312,N,C,2021-09-30,2021-07-20,2021-09-20,,472.48
12209,31336,N,S,2021-06-25,2021-04-15,2021-06-15,,447.01
12454,31445,N,S,2021-08-30,2021-06-20,2021-08-20,,409.42
14125,31513,S,P,2022-07-13,2022-05-10,2022-07-10,,223.43
12367,31576,N,S,2021-08-04,2021-05-25,2021-07-25,,580.71
12439,31670,N,C,2021-08-25,2021-06-15,2021-08-15,,429.64
12965,31681,N,C,2021-11-04,2021-12-20,2021-12-20,,175.50
13446,14130,S,P,2022-04-04,2022-01-25,2022-03-25,,594.14
14018,15676,N,C,2022-06-23,2022-04-20,2022-06-20,,463.29
14335,18451,S,S,2022-08-18,2022-06-15,2022-08-15,,460.35
12391,19042,N,S,2021-08-20,2021-06-10,2021-08-10,,449.57
13603,19123,S,P,2022-04-23,2022-02-20,2022-04-20,,633.99
13984,19374,N,S,2022-06-18,2022-04-15,2022-06-15,,1309.77
14121,19715,S,S,2022-07-13,2022-05-10,2022-07-10,,912.49
14046,20274,N,C,2022-06-28,2022-04-25,2022-06-25,,498.44
13695,21234,S,P,2022-04-28,2022-02-25,2022-04-25,,428.31
14183,21364,S,C,2022-07-18,2022-05-15,2022-07-15,,714.46
14405,21513,S,S,2022-04-23,2022-08-21,2022-08-21,,340.00
12601,21617,N,C,2021-10-11,2021-08-01,2021-10-01,,470.98
14254,22196,S,C,2022-08-04,2022-06-01,2022-08-01,,1493.00
14471,22278,S,C,2022-09-13,2022-07-10,2022-09-10,,570.87
12727,22899,N,C,2021-11-04,2021-08-25,2021-10-25,,461.84
8374,22985,N,S,2019-04-11,2019-02-01,2019-04-01,,1384.84
14673,23223,S,S,2022-10-13,2022-08-10,2022-10-10,,1023.82
14517,24421,N,C,2022-04-28,2022-09-10,2022-09-10,,444.50
14761,25068,S,S,2022-10-18,2022-08-15,2022-10-15,,1277.58
12396,27217,N,S,2021-08-20,2021-06-10,2021-08-10,,666.48
13551,27259,N,C,2022-04-18,2022-02-15,2022-04-15,,733.49
14320,27259,S,C,2022-04-18,2022-08-08,2022-08-08,,271.36
13805,27590,N,C,2022-05-18,2022-03-15,2022-05-15,,206.39
14364,27663,S,S,2022-08-23,2022-06-20,2022-08-20,,1185.97
12707,27816,N,S,2021-10-30,2021-08-20,2021-10-20,,677.92
14742,28593,N,S,2022-10-18,2022-08-15,2022-10-15,,884.72
13358,28846,N,C,2022-03-20,2021-12-10,2022-03-10,,525.33
12392,29683,N,C,2021-08-20,2021-06-10,2021-08-10,,934.39
13582,29887,N,C,2022-04-23,2022-02-20,2022-04-20,,596.45
13313,30319,N,C,2021-12-20,2022-03-11,2022-03-11,,405.00
14645,30504,S,S,2022-10-08,2022-08-05,2022-10-05,,2449.23
12679,30517,N,C,2021-10-25,2021-08-15,2021-10-15,,583.06
14224,30594,S,S,2022-07-28,2022-05-25,2022-07-25,,1064.63
11992,30754,N,S,2021-05-05,2021-02-25,2021-04-25,,591.46
13082,30787,N,C,2022-01-25,2021-11-15,2022-01-15,,610.22
12243,30818,N,C,2021-07-05,2021-04-25,2021-06-25,,438.20
14609,30896,N,S,2022-09-28,2022-07-25,2022-09-25,,66.66
12976,30929,N,P,2021-12-30,2021-10-20,2021-12-20,,673.19
12811,30945,N,S,2021-11-25,2021-09-15,2021-11-15,,620.88
13647,30964,N,C,2022-04-27,2022-02-10,2022-05-10,,527.96
12364,31092,N,S,2021-08-04,2021-05-25,2021-07-25,,468.15
12253,31191,N,S,2021-07-05,2021-04-25,2021-06-25,,516.01
14012,31224,S,P,2022-06-23,2022-04-20,2022-06-20,,885.43
13865,31225,N,S,2022-05-28,2022-03-25,2022-05-25,,853.89
12256,31236,N,P,2021-07-05,2021-04-25,2021-06-25,,153.88
14699,31311,S,S,2022-10-13,2022-08-10,2022-10-10,,1292.15
12624,31340,N,P,2021-10-20,2021-08-10,2021-10-10,,443.76
12232,31368,N,S,2021-06-30,2021-04-20,2021-06-20,,458.33
13260,31385,N,C,2021-11-30,2022-02-24,2022-02-24,,565.00
12326,31428,N,S,2021-07-25,2021-05-15,2021-07-15,,587.78
12613,31451,N,P,2021-07-05,2021-10-10,2021-10-10,,302.16
14836,31486,S,S,2022-10-28,2022-08-25,2022-10-25,,884.03
13683,31494,S,P,2022-04-28,2022-02-25,2022-04-25,,727.87
13160,31515,N,P,2022-02-04,2021-11-25,2022-01-25,,647.09
13203,31581,N,S,2021-08-30,2021-06-20,2022-02-12,,473.95
12629,31599,N,S,2021-10-20,2021-08-10,2021-10-10,,610.69
13066,31729,N,S,2022-01-20,2021-11-10,2022-02-10,,553.34
12746,15009,N,S,2021-08-11,2021-11-01,2021-11-01,,377.60
14575,15455,S,S,2022-04-28,2022-09-20,2022-09-20,,947.59
13858,19009,S,P,2022-05-28,2022-03-25,2022-05-25,,706.44
12575,19680,N,C,2021-10-05,2021-07-25,2021-09-25,,512.01
14592,21217,N,S,2022-09-28,2022-07-25,2022-09-25,,797.53
13187,22899,N,C,2021-11-04,2022-02-06,2022-02-06,,378.80
14201,23301,S,S,2022-07-23,2022-05-20,2022-07-20,,2200.45
12654,25490,N,C,2021-10-20,2021-08-10,2021-10-10,,716.04
14776,25490,S,S,2021-10-20,2022-10-15,2022-10-15,,107.48
13398,26175,N,S,2022-03-25,2022-01-15,2022-03-15,,466.36
13273,27378,N,C,2022-03-07,2021-12-25,2022-02-25,,133.49
12985,27746,N,S,2022-01-04,2021-10-25,2021-12-25,,625.74
14171,27758,S,S,2022-07-18,2022-05-15,2022-07-15,,775.46
13801,28073,S,P,2021-11-04,2022-05-10,2022-05-10,,174.26
12715,28073,N,C,2021-11-04,2021-08-25,2021-10-25,,1071.49
14074,28926,N,S,2022-06-28,2022-04-25,2022-06-25,,826.42
13705,29130,N,C,2022-04-28,2022-02-25,2022-04-25,,574.12
12990,29186,N,P,2022-01-04,2021-10-25,2021-12-25,,655.68
14727,29535,N,S,2022-07-13,2022-10-06,2022-10-06,,522.00
13830,29759,S,C,2022-04-04,2022-05-11,2022-05-11,,540.00
13583,29891,N,C,2022-04-23,2022-02-20,2022-04-20,,1032.94
12726,30043,N,C,2021-11-04,2021-08-25,2021-10-25,,706.40
12571,30073,N,S,2021-09-30,2021-07-20,2021-09-20,,453.00
13795,30319,S,P,2021-12-20,2022-05-08,2022-05-08,,214.00
12558,30417,N,C,2021-09-25,2021-07-15,2021-09-15,,830.61
12806,30447,N,C,2021-11-25,2021-09-15,2021-11-15,,447.42
12754,30635,N,C,2021-11-15,2021-09-05,2021-11-05,,410.86
12064,30726,N,C,2021-05-20,2021-03-10,2021-05-10,,788.77
12065,30822,N,S,2021-05-20,2021-03-10,2021-05-10,,586.35
12692,30823,N,P,2021-10-30,2021-08-20,2021-10-20,,1130.70
11995,30851,N,S,2021-05-05,2021-02-25,2021-04-25,,1119.62
14424,30934,N,S,2021-08-04,2021-05-25,2022-08-29,,296.00
12115,30992,N,P,2021-06-04,2021-03-25,2021-05-25,,519.85
12361,31039,N,S,2021-08-04,2021-05-25,2021-07-25,,427.62
12830,31056,N,C,2021-11-30,2021-09-20,2021-11-20,,452.75
12363,31079,N,C,2021-08-04,2021-05-25,2021-07-25,,1378.58
14573,31079,N,S,2021-08-04,2021-05-25,2022-09-20,,300.00
12249,31151,N,S,2021-07-05,2021-04-25,2021-06-25,,688.11
12284,31348,N,C,2021-07-20,2021-05-10,2021-07-10,,477.26
13972,31385,N,C,2021-11-30,2022-06-10,2022-06-10,,345.78
13340,31450,N,C,2022-03-20,2021-12-10,2022-03-10,,654.38
12258,31451,N,C,2021-07-05,2021-04-25,2021-06-25,,672.66
13341,31504,N,C,2022-03-20,2021-12-10,2022-03-10,,587.92
12286,31537,N,S,2021-07-20,2021-05-10,2021-07-10,,722.43
12747,31546,N,C,2021-07-25,2021-11-03,2021-11-03,,445.84
12535,31559,N,C,2021-07-20,2021-09-15,2021-09-15,,431.55
14421,31608,S,S,2022-09-04,2022-07-01,2022-09-01,,674.04
14564,31624,S,S,2022-09-23,2022-07-20,2022-09-20,,613.01
14209,31720,S,P,2022-07-23,2022-05-20,2022-07-20,,706.19
13868,31739,N,S,2022-05-28,2022-03-25,2022-05-25,,435.08
13870,31770,N,S,2022-05-28,2022-03-25,2022-05-25,,405.34
12330,31776,N,C,2021-07-25,2021-05-15,2021-07-15,,202.87
13168,14311,N,P,2022-02-04,2021-11-25,2022-01-25,,452.27
13141,15044,N,S,2022-01-30,2021-11-20,2022-01-20,,480.47
13490,18926,N,C,2021-12-25,2022-04-05,2022-04-05,,458.10
12689,18990,N,C,2021-10-30,2021-08-20,2021-10-20,,627.79
13629,19105,N,S,2022-04-27,2022-02-10,2022-05-10,,1327.79
14230,19598,S,S,2022-07-28,2022-05-25,2022-07-25,,1252.62
14412,20212,N,C,2022-06-18,2022-08-25,2022-08-25,,300.00
13995,20212,N,C,2022-06-18,2022-04-15,2022-06-15,,844.89
14709,20443,S,S,2022-10-13,2022-08-10,2022-10-10,,811.04
14383,20499,S,S,2022-08-28,2022-06-25,2022-08-25,,694.68
14186,21734,S,S,2022-07-18,2022-05-15,2022-07-15,,1440.29
14404,22224,S,S,2022-08-28,2022-06-25,2022-08-25,,365.37
13844,22526,S,P,2022-05-23,2022-03-20,2022-05-20,,1429.20
10122,22838,N,C,2020-01-20,2019-11-10,2020-01-10,,4551.52
14082,24067,N,C,2022-06-28,2022-04-25,2022-06-25,,1398.11
12463,24249,N,C,2021-09-04,2021-06-25,2021-08-25,,702.64
14389,24634,S,S,2022-08-28,2022-06-25,2022-08-25,,650.92
14478,24721,S,S,2022-09-13,2022-07-10,2022-09-10,,825.25
13148,24756,N,S,2021-11-30,2022-01-27,2022-01-27,,725.60
14311,24970,S,S,2022-08-13,2022-06-10,2022-08-10,,437.60
12765,26014,N,C,2021-11-20,2021-09-10,2021-11-10,,836.27
13867,26247,N,C,2022-05-28,2022-03-25,2022-05-25,,1440.21
14043,26578,N,S,2022-06-28,2022-04-25,2022-06-25,,1200.32
13163,26670,N,S,2022-02-04,2021-11-25,2022-01-25,,681.18
14470,27463,S,P,2022-09-13,2022-07-10,2022-09-10,,1412.10
13601,28087,N,C,2022-04-23,2022-02-20,2022-04-20,,897.14
12651,28288,N,S,2021-10-20,2021-08-10,2021-10-10,,759.11
13061,28329,N,S,2022-01-20,2021-11-10,2022-02-10,,796.89
13987,28515,N,S,2022-06-18,2022-04-15,2022-06-15,,559.73
13407,28905,N,C,2022-03-30,2022-01-20,2022-03-20,,421.56
12854,29343,N,S,2021-12-05,2021-09-25,2021-11-25,,528.40
13432,29759,N,C,2022-04-04,2022-01-25,2022-03-25,,637.79
12404,30250,N,S,2021-08-20,2021-06-10,2021-08-10,,715.06
12907,30319,N,C,2021-12-20,2021-10-10,2022-01-10,,838.49
11990,30738,N,S,2021-05-05,2021-02-25,2021-04-25,,425.63
14490,30869,S,S,2022-09-13,2022-07-10,2022-09-10,,1344.87
13037,30887,N,S,2022-01-20,2021-11-10,2022-02-10,,657.30
13221,30897,N,S,2022-02-25,2021-12-15,2022-02-15,,1088.58
14611,30916,N,S,2022-09-28,2022-07-25,2022-09-25,,785.47
12359,30943,N,S,2021-08-04,2021-05-25,2021-07-25,,380.99
14572,30964,N,S,2022-04-27,2022-02-10,2022-09-19,,315.84
13949,31006,S,P,2022-06-13,2022-04-10,2022-06-10,,496.44
12283,31095,S,P,2021-07-20,2021-05-10,2021-07-10,,516.80
13132,31098,S,C,2022-01-30,2021-11-20,2022-01-20,,850.84
12257,31252,N,C,2021-07-05,2021-04-25,2021-06-25,,452.19
12920,31317,N,S,2021-12-20,2021-10-10,2022-01-10,,2271.09
12864,31322,N,P,2021-12-05,2021-09-25,2021-11-25,,735.11
14122,31473,S,S,2022-07-13,2022-05-10,2022-07-10,,365.63
14124,31480,N,C,2022-07-13,2022-05-10,2022-07-10,,370.86
12925,31493,N,C,2021-12-20,2021-10-10,2022-01-10,,793.28
12748,31538,N,S,2021-11-11,2021-09-01,2021-11-01,,451.60
12327,31546,N,C,2021-07-25,2021-05-15,2021-07-15,,720.74
14016,31558,N,C,2022-06-23,2022-04-20,2022-06-20,,538.94
13267,31559,N,S,2021-07-20,2022-02-27,2022-02-27,,278.76
12289,31560,N,S,2021-07-20,2021-05-10,2021-07-10,,857.59
13842,31640,S,C,2022-05-23,2022-03-20,2022-05-20,,250.65
13161,31649,N,S,2022-02-04,2021-11-25,2022-01-25,,588.16
13962,31728,N,S,2022-06-13,2022-04-10,2022-06-10,,628.40
14505,31740,N,C,2022-06-08,2022-09-06,2022-09-06,,176.13
13199,31766,N,C,2021-12-25,2022-02-10,2022-02-10,,311.88
12415,31784,S,P,2021-08-20,2021-06-10,2021-08-10,,214.56
13227,31786,N,C,2022-02-25,2021-12-15,2022-02-15,,384.94
